,순위,제목,감독,한국내 배급사,개봉일,관객수,기타
0,1,《명량》,김한민,CJ E&M,2014-07-30,17616141,영화진흥위원회 발권통계 기준
1,2,《극한직업》,이병헌,CJ엔터테인먼트,2019-01-23,16266480,영화진흥위원회 발권통계 기준
2,3,《신과함께: 죄와 벌》,김용화,롯데엔터테인먼트,2017-12-20,14414658,영화진흥위원회 발권통계 기준
3,4,《국제시장》,윤제균,CJ E&M,2014-12-17,14265222,영화진흥위원회 발권통계 기준
4,5,《어벤져스: 엔드게임》,루소 형제,월트디즈니컴퍼니코리아,2019-04-24,13977602,영화진흥위원회 발권통계 기준
5,6,《겨울왕국 2》,크리스 벅 제니퍼 리,월트디즈니컴퍼니코리아,2019-11-21,13768331,영화진흥위원회 발권통계 기준
6,7,《아바타》,제임스 캐머런,이십세기폭스코리아,2009-12-17,13624328,영화진흥위원회 공식통계 기준
7,8,《베테랑》,류승완,CJ E&M,2015-08-05,13414484,영화진흥위원회 발권통계 기준
8,9,《서울의 봄》,김성수,플러스엠 엔터테인먼트,2023-11-22,13122895,영화진흥위원회 발권통계 기준
9,10,《괴물》,봉준호,쇼박스,2006-07-27,13019740,영화진흥위원회 공식통계 기준
10,11,《도둑들》,최동훈,쇼박스,2012-07-25,12984701,영화진흥위원회 발권통계 기준
11,12,《7번방의 선물》,이환경,넥스트엔터테인먼트월드,2013-01-23,12812186,영화진흥위원회 발권통계 기준
12,13,《알라딘》,가이 리치,월트디즈니컴퍼니코리아,2019-05-23,12797927,영화진흥위원회 발권통계 기준
13,14,《암살》,최동훈,쇼박스,2015-07-22,12707237,영화진흥위원회 발권통계 기준
14,15,《범죄도시2》,이상용,플러스엠 엔터테인먼트,2022-05-18,12693415,영화진흥위원회 발권통계 기준
15,16,"《광해, 왕이 된 남자》",추창민,CJ E&M,2012-09-13,12324062,영화진흥위원회 발권통계 기준
16,17,《왕의 남자》,이준익,시네마서비스,2005-12-29,12302831,영화진흥위원회 공식통계 기준
17,18,《신과함께: 인과 연》,김용화,롯데엔터테인먼트,2018-08-01,12278010,영화진흥위원회 발권통계 기준
18,19,《택시운전사》,장훈,쇼박스,2017-08-02,12189706,영화진흥위원회 발권통계 기준
19,20,《태극기 휘날리며》,강제규,쇼박스,2004-02-05,11746135,영화진흥위원회 공식통계 기준
20,21,《부산행》,연상호,넥스트엔터테인먼트월드,2016-07-20,11567816,영화진흥위원회 발권통계 기준
21,22,《해운대》,윤제균,CJ엔터테인먼트,2009-07-22,11453338,영화진흥위원회 공식통계 기준
22,23,《변호인》,양우석,넥스트엔터테인먼트월드,2013-12-18,11375399,영화진흥위원회 발권통계 기준
23,24,《어벤져스: 인피니티 워》,루소 형제,월트디즈니컴퍼니코리아,2018-04-25,11233176,영화진흥위원회 발권통계 기준
24,25,《실미도》,강우석,시네마서비스,2003-12-24,11081000,영화진흥위원회 공식통계 기준
25,26,《아바타: 물의 길》,제임스 캐머런,월트디즈니컴퍼니코리아,2022-12-14,10805065,영화진흥위원회 발권통계 기준
26,27,《범죄도시3》,이상용,플러스엠 엔터테인먼트,2023-05-31,10682813,영화진흥위원회 발권통계 기준
27,28,《어벤져스: 에이지 오브 울트론》,조스 휘던,월트디즈니컴퍼니코리아,2015-04-23,10504487,영화진흥위원회 발권통계 기준
28,29,《인터스텔라》,크리스토퍼 놀런,워너브라더스코리아,2014-11-06,10342523,영화진흥위원회 발권통계 기준
29,30,《겨울왕국》,"크리스 벅, 제니퍼 리",월트디즈니컴퍼니코리아,2014-01-16,10328157,영화진흥위원회 발권통계 기준
30,31,《기생충》,봉준호,CJ엔터테인먼트,2019-05-30,10313735,영화진흥위원회 발권통계 기준
31,32,《보헤미안 랩소디》,브라이언 싱어,이십세기폭스코리아,2018-10-31,9948386,영화진흥위원회 발권통계 기준
32,33,《검사외전》,이일형,쇼박스,2016-02-03,9707581,영화진흥위원회 발권통계 기준
33,34,《엑시트》,이상근,CJ E&M,2019-07-31,9427588,영화진흥위원회 발권통계 기준
34,35,《설국열차》,봉준호,CJ E&M,2013-08-01,9354547,영화진흥위원회 발권통계 기준
35,36,《내부자들》,우민호,쇼박스,2015-11-19,9158490,"영화진흥위원회 발권통계 기준, 확장판 합산"
36,37,《관상》,한재림,쇼박스,2013-09-11,9135806,영화진흥위원회 발권통계 기준
37,38,《아이언맨 3》,셰인 블랙,월트디즈니컴퍼니코리아,2013-04-25,9001679,영화진흥위원회 발권통계 기준
38,39,《국가대표》,김용화,쇼박스,2009-07-29,8845330,"영화진흥위원회 공식통계 기준, 완결판 합산"
39,40,《캡틴 아메리카: 시빌 워》,루소 형제,월트디즈니컴퍼니코리아,2016-04-27,8678117,영화진흥위원회 발권통계 기준
40,41,《해적: 바다로 간 산적》,이석훈,롯데엔터테인먼트,2014-08-06,8666208,영화진흥위원회 발권통계 기준
41,42,《수상한 그녀》,황동혁,CJ E&M,2014-01-22,8662080,영화진흥위원회 발권통계 기준
42,43,《디워》,심형래,쇼박스,2007-08-01,8426973,영화진흥위원회 공식통계 기준
43,44,《과속스캔들》,강형철,롯데엔터테인먼트,2008-12-03,8245523,영화진흥위원회 공식통계 기준
44,45,《탑건: 매버릭》,조지프 코신스키,롯데엔터테인먼트,2022-06-22,8224327,영화진흥위원회 발권통계 기준
45,46,《스파이더맨: 파 프롬 홈》,존 와츠,소니 픽처스 엔터테인먼트 코리아,2019-07-02,8023606,영화진흥위원회 발권통계 기준
46,47,《웰컴 투 동막골》,박광현,쇼박스,2005-08-04,8008622,영화진흥위원회 공식통계 기준
47,48,《공조》,김성훈,CJ E&M,2017-01-18,7817686,영화진흥위원회 발권통계 기준
48,49,《트랜스포머 3》,마이클 베이,CJ E&M,2011-06-29,7785189,영화진흥위원회 발권통계 기준
49,50,《히말라야》,이석훈,CJ E&M,2015-12-16,7759761,영화진흥위원회 발권통계 기준
50,51,《미션 임파서블: 고스트 프로토콜》,브래드 버드,CJ E&M,2011-12-15,7575899,영화진흥위원회 공식통계 기준
51,52,《스파이더맨: 노 웨이 홈》,존 와츠,소니 픽처스 엔터테인먼트 코리아,2021-12-15,7551990,영화진흥위원회 발권통계 기준
52,53,《트랜스포머: 패자의 역습》,마이클 베이,CJ엔터테인먼트,2009-06-24,7505700,영화진흥위원회 공식통계 기준
53,54,《밀정》,김지운,워너브라더스코리아,2016-09-07,7500457,영화진흥위원회 발권통계 기준
54,55,《최종병기 활》,김한민,롯데엔터테인먼트,2011-08-10,7482298,"영화진흥위원회 발권통계 기준, 감독확장판 합산"
55,56,《써니》,강형철,CJ E&M,2011-05-04,7454051,"영화진흥위원회 발권통계 기준, 감독판 합산"
56,57,《트랜스포머》,마이클 베이,CJ엔터테인먼트,2007-06-28,7440531,영화진흥위원회 공식통계 기준
57,58,《화려한 휴가》,김지훈,CJ E&M,2007-07-25,7307993,영화진흥위원회 공식통계 기준
58,59,《한산: 용의 출현》,김한민,롯데엔터테인먼트,2022-07-27,7285169,"영화진흥위원회 발권통계 기준, 리덕스 합산"
59,60,《스파이더맨: 홈커밍》,존 와츠,소니 픽처스 엔터테인먼트 코리아,2017-07-05,7258678,영화진흥위원회 발권통계 기준
60,61,《엘리멘탈》,피터 손,월트디즈니컴퍼니코리아,2023-06-14,7237796,영화진흥위원회 발권통계 기준
61,62,《1987》,장준환,CJ E&M,2017-12-27,7232527,영화진흥위원회 발권통계 기준
62,63,《베를린》,류승완,CJ E&M,2013-01-30,7166688,영화진흥위원회 발권통계 기준
63,64,《마스터》,조의석,CJ E&M,2016-12-21,7150586,영화진흥위원회 발권통계 기준
64,65,《터널》,김성훈,쇼박스,2016-08-10,7120780,영화진흥위원회 발권통계 기준
65,66,《어벤져스》,조스 휘던,월트디즈니컴퍼니코리아,2012-04-26,7087971,영화진흥위원회 발권통계 기준
66,67,《인천상륙작전》,이재한,CJ E&M,2016-07-27,7051660,영화진흥위원회 발권통계 기준
